                                                                    Batteries	                                                              Base
	Base.Set.fold_result : ('a, 'b) set -> init:'accum -> f:('accum -> 'a -> ('accum, 'e) Base.Result.t) -> ('accum, 'e) Base.Result.t
	Base.Set.fold_right : ('a, 'b) set -> init:'accum -> f:('a -> 'accum -> 'accum) -> 'accum
	Base.Set.fold_until : ('a, 'b) set -> init:'accum -> f:('accum -> 'a -> ('accum, 'final) Base.Set_intf.Continue_or_stop.t) -> finish:('accum -> 'final) -> 'final
	Base.Set.group_by : ('a, 'cmp) set -> equiv:('a -> 'a -> bool) -> ('a, 'cmp) set list
	Base.Set.hash_fold_direct : 'a Base.Hash.folder -> ('a, 'cmp) set Base.Hash.folder
	Base.Set.hash_fold_m__t : (module Base.Set.Hash_fold_m with type t = 'elt) -> Base.Hash.state -> ('elt, 'a) set -> Base.Hash.state
	Base.Set.hash_m__t : (module Base.Set.Hash_fold_m with type t = 'elt) -> ('elt, 'a) set -> int
	Base.Set.invariants : ('a, 'b) set -> bool
	Base.Set.is_subset : ('a, 'cmp) set -> of_:('a, 'cmp) set -> bool
	Base.Set.iter2 : ('a, 'cmp) set -> ('a, 'cmp) set -> f:([ `Both of 'a * 'a | `Left of 'a | `Right of 'a ] -> unit) -> unit
	Base.Set.length : ('a, 'b) set -> int
	Base.Set.m__t_of_sexp : (module Base.Set.M_of_sexp with type comparator_witness = 'cmp and type t = 'elt) -> Base.Sexp.t -> ('elt, 'cmp) set
	Base.Set.merge_to_sequence : ?order:[ `Decreasing | `Increasing ] -> ?greater_or_equal_to:'a -> ?less_or_equal_to:'a -> ('a, 'cmp) set -> ('a, 'cmp) set -> ('a, 'a) Base.Set.Merge_to_sequence_element.t Base.Sequence.t
	Base.Set.nth : ('a, 'b) set -> int -> 'a option
	Base.Set.of_increasing_iterator_unchecked : ('a, 'cmp) Base.Set.comparator -> len:int -> f:(int -> 'a) -> ('a, 'cmp) set
	Base.Set.of_sorted_array : ('a, 'cmp) Base.Set.comparator -> 'a array -> ('a, 'cmp) set Base.Or_error.t
	Base.Set.of_sorted_array_unchecked : ('a, 'cmp) Base.Set.comparator -> 'a array -> ('a, 'cmp) set
	Base.Set.remove_index : ('a, 'cmp) set -> int -> ('a, 'cmp) set
	Base.Set.sexp_of_m__t : (module Base.Set.Sexp_of_m with type t = 'elt) -> ('elt, 'cmp) set -> Base.Sexp.t
	Base.Set.stable_dedup_list : ('a, 'b) Base.Set.comparator -> 'a list -> 'a list
	Base.Set.sum : (module Base.Container.Summable with type t = 'sum) -> ('a, 'b) set -> f:('a -> 'sum) -> 'sum
	Base.Set.to_sequence : ?order:[ `Decreasing | `Increasing ] -> ?greater_or_equal_to:'a -> ?less_or_equal_to:'a -> ('a, 'cmp) set -> 'a Base.Sequence.t
	Base.Set.union_list : ('a, 'cmp) Base.Set.comparator -> ('a, 'cmp) set list -> ('a, 'cmp) set
	Base.String.( ^ ) : string -> string -> string
	Base.String.ascending : string -> string -> int
	Base.String.between : string -> low:string -> high:string -> bool
	Base.String.chop_prefix_exn : string -> prefix:string -> string
	Base.String.chop_prefix_if_exists : string -> prefix:string -> string
	Base.String.chop_suffix_exn : string -> suffix:string -> string
	Base.String.chop_suffix_if_exists : string -> suffix:string -> string
	Base.String.clamp : string -> min:string -> max:string -> string Base.Or_error.t
	Base.String.clamp_exn : string -> min:string -> max:string -> string
	Base.String.comparator : (string, Base.String.comparator_witness) Base.Comparator.comparator = {Base.Comparator.compare; sexp_of_t}
	Base.String.concat_array : ?sep:string -> string array -> string
	Base.String.count : string -> f:(Base.String.elt -> bool) -> int
	Base.String.descending : string -> string -> int
	Base.String.drop_prefix : string -> int -> string
	Base.String.drop_suffix : string -> int -> string
	Base.String.find : string -> f:(Base.String.elt -> bool) -> Base.String.elt option
	Base.String.find_map : string -> f:(Base.String.elt -> 'a option) -> 'a option
	Base.String.fold_result : string -> init:'accum -> f:('accum -> Base.String.elt -> ('accum, 'e) Base.Result.t) -> ('accum, 'e) Base.Result.t
	Base.String.fold_until : string -> init:'accum -> f:('accum -> Base.String.elt -> ('accum, 'final) Base.Container_intf.Continue_or_stop.t) -> finish:('accum -> 'final) -> 'final
	Base.String.hash_fold_t : Base.Ppx_hash_lib.Std.Hash.state -> string -> Base.Ppx_hash_lib.Std.Hash.state
	Base.String.index : string -> char -> int option
	Base.String.index_from : string -> int -> char -> int option
	Base.String.invariant : string Base.Invariant_intf.inv
	Base.String.is_prefix : string -> prefix:string -> bool
	Base.String.is_substring : string -> substring:string -> bool
	Base.String.is_substring_at : string -> pos:int -> substring:string -> bool
	Base.String.is_suffix : string -> suffix:string -> bool
	Base.String.lfindi : ?pos:int -> string -> f:(int -> char -> bool) -> int option
	Base.String.lsplit2 : string -> on:char -> (string * string) option
	Base.String.lsplit2_exn : string -> on:char -> string * string
	Base.String.lstrip : ?drop:(char -> bool) -> string -> string
	Base.String.max : string -> string -> string
	Base.String.max_elt : string -> compare:(Base.String.elt -> Base.String.elt -> int) -> Base.String.elt option
	Base.String.max_length : int = 144115188075855863
	Base.String.min : string -> string -> string
	Base.String.min_elt : string -> compare:(Base.String.elt -> Base.String.elt -> int) -> Base.String.elt option
	Base.String.of_char_list : char list -> string
	Base.String.of_string : string -> string
	Base.String.prefix : string -> int -> string
	Base.String.rfindi : ?pos:int -> string -> f:(int -> char -> bool) -> int option
	Base.String.rindex : string -> char -> int option
	Base.String.rindex_from : string -> int -> char -> int option
	Base.String.rsplit2 : string -> on:char -> (string * string) option
	Base.String.rsplit2_exn : string -> on:char -> string * string
	Base.String.rstrip : ?drop:(char -> bool) -> string -> string
	Base.String.sexp_of_t : string -> Sexplib0__.Sexp.t
	Base.String.split_lines : string -> string list
	Base.String.split_on_chars : string -> on:char list -> string list
	Base.String.subo : (string, string) Base.Blit.subo
	Base.String.substr_index : ?pos:int -> string -> pattern:string -> int option
	Base.String.substr_index_all : string -> may_overlap:bool -> pattern:string -> int list
	Base.String.substr_index_exn : ?pos:int -> string -> pattern:string -> int
	Base.String.substr_replace_all : string -> pattern:string -> with_:string -> string
	Base.String.substr_replace_first : ?pos:int -> string -> pattern:string -> with_:string -> string
	Base.String.suffix : string -> int -> string
	Base.String.sum : (module Base.Container_intf.Summable with type t = 'sum) -> string -> f:(Base.String.elt -> 'sum) -> 'sum
	Base.String.t_of_sexp : Sexplib0__.Sexp.t -> string
	Base.String.t_sexp_grammar : Base.Ppx_sexp_conv_lib.Sexp.Private.Raw_grammar.t...
	Base.String.to_list_rev : string -> char list
	Base.String.to_string : string -> string
	Base.String.tr : target:char -> replacement:char -> string -> string
	Base.String.tr_multi : target:string -> replacement:string -> (string -> string) Base.Staged.t
	Base.String.validate_bound : min:string Base.Maybe_bound.t -> max:string Base.Maybe_bound.t -> string Base.Validate.check
	Base.String.validate_lbound : min:string Base.Maybe_bound.t -> string Base.Validate.check
	Base.String.validate_ubound : max:string Base.Maybe_bound.t -> string Base.Validate.check
